Numero de mesure;Longitude;Latitude;Position;Insee;Adresse;Complement;Code postal;Commune;Date de mesure;Mesure realisee;Rapport;Conformite de la mesure;Niveau global;Type d'environnement;Laboratoire
14868;3.87417;43.60139;03e 52' 27.00'' Est, 43e 36' 05.00'' Nord;34172;25-1 Rue Ernest Michel;Residence Longjumeau, 3eme etage, Mme Lopez, sur le balcon, devant la chambre 2;34000;MONTPELLIER;14/11/2008;En exterieur;FicheMesure14868.pdf;Oui;2.97;Divers;AEXPERTISE
14963;3.23194;43.33639;03e 13' 55.00'' Est, 43e 20' 11.00'' Nord;34032;Rue Jean Mermoz;devant chez M. Hestroffer;34500;BEZIERS;28/11/2008;En exterieur;FicheMesure14963.pdf;Oui;1.62;Rue / Route / Parking;AEXPERTISE
15319;3.10250;43.38972;03e 06' 09.00'' Est, 43e 23' 23.00'' Nord;34069;Place MICHELET;Place MICHELET devant l'Ecole Elementaire St EXUPERY;34370;CAZOULS-LES-BEZIERS;15/09/2008;En exterieur;FicheMesure15319.pdf;Oui;0.32;Rue / Route / Parking;EMITECH Mesures Orgeval
15378;4.18167;43.66667;04e 10' 54.00'' Est, 43e 40' 00.00'' Nord;34151;Chaussee du Vidourle;Devant le ne10;34590;MARSILLARGUES;13/01/2009;En exterieur;FicheMesure15378.pdf;Oui;0.96;Rue / Route / Parking;AEXPERTISE
15787;3.50833;43.69556;03e 30' 30.00'' Est, 43e 41' 44.00'' Nord;34173;Impasse de la Route Neuve;Entre le ne5 et le ne1;34150;MONTPEYROUX;12/03/2009;En exterieur;FicheMesure15787.pdf;Oui;0.30;Rue / Route / Parking;AEXPERTISE
16108;3.20611;43.32694;03e 12' 22.00'' Est, 43e 19' 37.00'' Nord;34032;2 Impasse du Henri Clouzot;Chez M. SERIN, sur la terrasse situee devant le salon;34500;BEZIERS;03/04/2009;En exterieur;FicheMesure16108.pdf;Oui;3.28;Divers;AEXPERTISE
16310;3.68417;43.40194;03e 41' 03.00'' Est, 43e 24' 07.00'' Nord;34301;Chemin du Couchant;A l'intersection du chemin des Pierres Blanches et du chemin du Couchant;34200;SETE;04/05/2009;En exterieur;FicheMesure16310.pdf;Oui;2.90;Rue / Route / Parking;AEXPERTISE
16698;3.69611;43.46500;03e 41' 46.00'' Est, 43e 27' 54.00'' Nord;34024;Chemin des Myrtes;devant chez M. ROLLAND;34540;BALARUC-LE-VIEUX;11/06/2009;En exterieur;FicheMesure16698.pdf;Oui;0.73;Rue / Route / Parking;AEXPERTISE
16708;3.85556;43.63028;03e 51' 20.00'' Est, 43e 37' 49.00'' Nord;34172;191 Avenue du Doyen Gaston Giraud;CHRU de Montpellier, devant le betiment Service Social du Personnel, e l'extremite Est du betiment;34000;MONTPELLIER;18/05/2009;En exterieur;FicheMesure16708.pdf;Oui;2.72;Rue / Route / Parking;AEXPERTISE
17035;3.87972;43.60972;03e 52' 47.00'' Est, 43e 36' 35.00'' Nord;34172;16 Rue Jacques Coeur;Residence le Rivoli, Betiment B, au 5eme etage, chez Mme IMBERT, sur le balcon de la salle e manger;34000;MONTPELLIER;26/06/2009;En exterieur;FicheMesure17035.pdf;Oui;0.94;Divers;AEXPERTISE
17054;3.69056;43.40250;03e 41' 26.00'' Est, 43e 24' 09.00'' Nord;34301;103 Rue de Belfort;Chez M. CANTIN, dans l'angle de la terrasse, cete des antennes;34200;SETE;07/07/2009;En exterieur;FicheMesure17054.pdf;Oui;5.09;Divers;AEXPERTISE
17055;3.67083;43.41222;03e 40' 15.00'' Est, 43e 24' 44.00'' Nord;34301;Rue du Bachaga Boualam;Stade Louis Michel, tribune populaire, en haut de l'escalier de la travee I;34200;SETE;07/07/2009;En exterieur;FicheMesure17055.pdf;Oui;1.17;Divers;AEXPERTISE
17116;3.13056;43.29139;03e 07' 50.00'' Est, 43e 17' 29.00'' Nord;34183;Rue de Terre Rousse;Devant l'entree du Cheteau d'eau;34440;NISSAN-LEZ-ENSERUNE;06/07/2009;En exterieur;FicheMesure17116.pdf;Oui;1.40;Rue / Route / Parking;AEXPERTISE
17437;3.89806;43.54306;03e 53' 53.00'' Est, 43e 32' 35.00'' Nord;34129;mas des salins. Rte des 1eres cabanbes;Piste cyclable devant le Mas des Salins;34970;LATTES;09/07/2009;En exterieur;FicheMesure17437.pdf;Oui;2.24;Rue / Route / Parking;EMITECH Chassieu
17704;3.48750;43.30417;03e 29' 15.00'' Est, 43e 18' 15.00'' Nord;34003;Avenue du Grand Large;Devant le Cabinet medical;34300;AGDE;03/08/2009;En exterieur;FicheMesure17704.pdf;Oui;1.65;Rue / Route / Parking;EMITECH Chassieu
17705;3.48722;43.30306;03e 29' 14.00'' Est, 43e 18' 11.00'' Nord;34003;10 Rue du Capitaine de Vaisseau Escande;Devant le Portail du numero 10;34300;AGDE;03/08/2009;En exterieur;FicheMesure17705.pdf;Oui;1.36;Rue / Route / Parking;EMITECH Chassieu
17919;3.19806;43.33722;03e 11' 53.00'' Est, 43e 20' 14.00'' Nord;34032;55 Avenue Pierre de Coubertin;Cooperative Agricole Grap-Sud, dans la cour;34500;BEZIERS;11/09/2009;En exterieur;FicheMesure17919.pdf;Oui;1.32;Rue / Route / Parking;AEXPERTISE
17927;3.87333;43.65472;03e 52' 24.00'' Est, 43e 39' 17.00'' Nord;34077;Rond Point de Girac; Rond Point de Girac, devant les bureaux  d'ADA et de Carrefour Immobilier;34830;CLAPIERS;09/09/2009;En exterieur;FicheMesure17927.pdf;Oui;0.68;Rue / Route / Parking;AEXPERTISE
17949;3.84000;43.60806;03e 50' 24.00'' Est, 43e 36' 29.00'' Nord;34172;Rue du Pont de Laverune;Dans le square Franeois Dezeuze, sur l'aire de jeux pour enfants;34000;MONTPELLIER;09/09/2009;En exterieur;FicheMesure17949.pdf;Oui;0.62;Divers;AEXPERTISE
17952;3.33333;43.30694;03e 19' 60.00'' Est, 43e 18' 25.00'' Nord;34209;Rue du Bel Air;Rue du Bel Air, en face du ne13, chez M. BARTHES;34420;PORTIRAGNES;08/09/2009;En exterieur;FicheMesure17952.pdf;Oui;1.21;Rue / Route / Parking;AEXPERTISE
